NameID	ContinentName	CountryName	UpperName	LowerName	Locality	ElevationDisplay	Coordinate Display	LatitudeDecimal	LongitudeDecimal	Description
27909983	South America	Ecuador	Azuay		Parque Nacional Cajas. Páramo de Soldados. Road Cuenca-San Joaquín-Soldados.  Above Soldados, off road within the Park, km 51.7. Burnt and regenerated páramo.	3680 - 3870 m	"02°53'01""S 079°18'31""W - 02°53'34""S 079°18'36""W"	-2,88361	-79,30861	Shrub 0.3 m. Flowers white flushed with purple outside.
27904079	South America	Ecuador	Azuay		Laguna Toreadora, Las Cajas. Semihumid paramo dominated by grass tussocks and cushion plants, mainly of the families Asteraceae, Apiaceae and Valerianaceae. Scattered shrubs and Puyas. Soil temp.: 8° C.	3900 m	02°43'S 079°12'W	-2,71666	-79,2	Forming small mats. Flowers white to pink.
27904079	South America	Ecuador	Azuay		Cuenca, about 25 km on the road to Cajas. Paramo.	3500 m	02°48'S 079°08'W	-2,8	-79,13333	Herb, cushionplant. Petals white. Center of flower light violet.
27904079	South America	Ecuador	Azuay	Cuenca	Area Nacional de Recreación Cajas. Laguna Toreadora. Mostly paramo with remnant Montane Wet Forest.	3800 m	02°48'S 079°08'W	-2,8	-79,13333	Cushion-forming herb.
27904079	South America	Ecuador	Azuay	Cuenca	Area Nacional de Recreación Cajas. Collections made between La Laguna Llaviucu via dirt road to main highway to Cuenca. Mostly Paramo with remnant patches of Montane Wet Forest.	3100 - 3200 m	02°53'S 079°08'W	-2,88333	-79,13333	Low terrestrial herb, cushion-forming. Corolla salverform with white-blue lobes.
27904079	South America	Ecuador	Azuay	Cuenca	Area Nacional de Recreación Cajas. Laguna Toreadora and Virgen Machay. Mostly Paramo with remnant Montane Wet Forest.	4000 - 4400 m	02°46'S 079°13'W	-2,76666	-79,21666	"Terrestrial creeping herb. Corolla tubular with four lobes; inside of corolla white, outside light blue."
27904079	South America	Ecuador	Azuay	Cuenca	Parque Nacional El Cajas.  Laguna Toreador.	3500 m	02°53'S 079°08'W	-2,88333	-79,13333	Cushion-forming herb. Perianth salverform and white.
27904079	South America	Ecuador	Azuay		Parque Nacional Cajas. Road Cuenca-Sayausí-Molleturo. At the pass, km 38.4. Grass páramo vegetation.	4110 - 4230 m	"02°46'38""S 079°14'27""W"	-2,77722	-79,24083	Cushion-forming herb. Corolla white tinged with violet on the outside.
27904079	South America	Ecuador	Azuay	Cuenca	Parque Nacional Cajas, km 32.1 desde redondel Cuenca-Molleturo. Sendero este alrededor de Laguna Toreadora. Páramo de pajonal.	3850 - 3870 m	"02°46'56""S 079°13'24""W - 02°46'46""S 079°13'18""W"	-2,7822223	-79,2233334	Planta en almohadilla. Flores blancas, anteras café-oscuras.
27904079	South America	Ecuador	Azuay		"Parque Nacional Cajas; near Laguna Toreadora"	3850 m	"02°46'57""S 079°13'28""W"	-2,7825	-79,22444	Mat-forming distylous, white to violet
27904079	South America	Ecuador	Azuay		"Parque National Cajas; near Laguna Toreadora"	3850 m	"02°46'57""S 079°13'28""W"	-2,7825	-79,22444	Mat-forming, flowers white to violet, distylous
27904079	South America	Ecuador	Azuay		Parque Nacional Cajas, Laguna Toreadora.	3950 m	"02°46'59""S 079°13'26""W"	-2,783	-79,2239167	Hierba en cojín, diminuta, corola blanca.
27909983	South America	Ecuador	Azuay		Parque Nacional Cajas. Road Cuena-Sayausí-Molleturo, km 28.9. Around Laguna Patoquinoa, páramo vegetation with scattered Polylepis trees.	3700 - 3870 m	"02°46'56""S 079°12'14""W - 02°47'11""S 079°12'26""W"	-2,78222	-79,20388	Shrub 0.5 m. Flower buds dark pink-purple. Corolla white inside, tinged with purple outside.
27909983	South America	Ecuador	Azuay	Cuenca	Parque Nacional Cajas, km 28 redondel Cuenca-Molleturo. Sendero Laguna Patoquinoas, páramo de pajonal y bosque de Polylepis.	3730 m	"02°47'09""S 079°12'18""W"	-2,7858333	-79,205	Arbusto 1 m, flores blancas con tintes morados.
27909983	South America	Ecuador	Azuay		Parque Nacional Cajas, sendero a Lagunas Unidas.	3805 m	"02°47'06""S 079°12'20""W"	-2,7849444	-79,2055	Arbusto, flores blancas.
1700589	South America	Ecuador	Azuay		Parque Nacional Cajas. Road Cuena-Sayausí-Molleturo, km 28.9. Around Laguna Patoquinoa, páramo vegetation with scattered Polylepis trees.	3700 - 3870 m	"02°46'56""S 079°12'14""W - 02°47'11""S 079°12'26""W"	-2,7822223	-79,2038889	Herb, terrestrial to 0.5 m. Flowers yellowish white.
1700589	South America	Ecuador	Azuay		Road Chiquintad-Labrado. North side ending at the dam Presa Chanlud, km 26.9. Distured upper Andean forest and grass páramo.	3340 - 3520 m	"02°41'54""S 079°01'48""W - 02°40'57""S 079°02'03""W"	-2,69833	-79,03	Herb, 1 m. Flowers yellow. Fruits light green. Peduncles maroon.
1700589	South America	Ecuador	Azuay	Cuenca	Parque Nacional Cajas, km 28 redondel Cuenca-Molleturo. Sendero Laguna Patoquinoas, páramo de pajonal y bosque de Polylepis.	3730 m	"02°47'09""S 079°12'18""W"	-2,7858333	-79,205	Hierba 0.9 m, pétalos blanco-verdosos.
1700589	South America	Ecuador	Azuay		Parque Nacional Cajas, Laguna de Llaviuco.	3170 m	"02°50'38""S 079°08'37""W"	-2,8439722	-79,1437194	
1703586	South America	Ecuador	Azuay		Laguna Toreadora, Las Cajas. Semihumid paramo dominated by grass tussocks and cushion plants, mainly of the families Asteraceae, Apiaceae and Valerianaceae. Scattered shrubs and Puyas. Soil temp.: 8° C.	3900 m	02°43'S 079°12'W	-2,71666	-79,2	Horizontal rootstock giving rise to cushions. Flowers white.
1703586	South America	Ecuador	Azuay		Parque Nacional Cajas. Road Cuenca-Sayausí-Molleturo, beyond the pass. Km 47.8. Páramo vegetation.	3720 m	"02°47'56""S 079°18'17""W"	-2,7988889	-79,3047222	Herb cushion-forming. Buds light green. Flowers white.
1703586	South America	Ecuador	Azuay	Cuenca	Parque Nacional Cajas, km 32.1 desde redondel Cuenca-Molleturo. Bosque de Polylepis abajo de la casa de información, Laguna La Toreadora.	3880 m	"02°46'56""S 079°13'26""W"	-2,7822223	-79,2238889	Hierba formando almohadillas, flores amarillo-verdosas.
2722892	South America	Ecuador	Azuay		Parque Nacional de Cajas, WNW of Cuenca. Humid depression in grass paramo.	3950 m	02°51'S 079°12'W	-2,85	-79,2	Flowers light yellow.
2722892	South America	Ecuador	Azuay		Laguna Toreadora, Las Cajas. Semihumid paramo dominated by grass tussocks and cushion plants, mainly of the families Asteraceae, Apiaceae and Valerianaceae. Scattered shrubs and Puyas. Soil temp.: 8° C.	3900 m	02°43'S 079°12'W	-2,71666	-79,2	Long creeping shoots. Flowers white.
2722892	South America	Ecuador	Azuay	Cuenca	Area Nacional de Recreación Cajas. Laguna Toreadora. Mostly paramo with remnant Montane Wet Forest.	3800 m	02°48'S 079°08'W	-2,8	-79,13333	Mat-forming herb. Flowers white.
2722892	South America	Ecuador	Azuay	Cuenca	Parque Nacional Cajas, km 32.1 desde redondel Cuenca-Molleturo. Sendero este alrededor de Laguna Toreadora. Páramo de pajonal.	3850 - 3870 m	"02°46'56""S 079°13'24""W - 02°46'46""S 079°13'18""W"	-2,7822223	-79,2233334	Hierba reptante, brácteas verdes con puntas moradas, flores blanco sucio, estigmas café-lilas.
2722899	South America	Ecuador	Azuay	Cuenca	Parque Nacional Cajas, km 28 redondel Cuenca-Molleturo. Sendero Laguna Patoquinoas, páramo de pajonal y bosque de Polylepis.	3730 m	"02°47'09""S 079°12'18""W"	-2,7858333	-79,205	Hierba con tallos alados, brácteas con tintes morados, flósculos blancos.
29200505	South America	Ecuador	Azuay		Around Laguna Toreadora in Parque Nacional de Cajas, c. 35 km WNW of Cuenca. Polylepis forest and grass paramo.	3950 m	02°46'S 079°13'W	-2,76666	-79,21666	Erect herb. Calyx purple. Corolla light green.
29200505	South America	Ecuador	Azuay		Laguna Toreadora, Las Cajas. Semihumid paramo dominated by grass tussocks and cushion plants, mainly of the families Asteraceae, Apiaceae and Valerianaceae. Scattered shrubs and Puyas. Soil temp.: 8° C.	3900 m	02°43'S 079°12'W	-2,71666	-79,2	Flowers light yellow.
